Unprojected (Latitude/Longitude)|Unprojected (Latitude/Longitude)|+proj=longlat +ellps=WGS84 +no_defs|GEOGCS["WGS 84",DATUM["unknown",SPHEROID["WGS84",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]]|GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]]|
State Plane - 1983|Maryland|+proj=lcc +ellps=GRS80 +lon_0=-76 +lat_0=37.6666666666 +lat_1=38.3 +lat_2=39.44 +x_0=400000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",38.3],PARAMETER["standard_parallel_2",39.44],PARAMETER["latitude_of_origin",37.6666666666],PARAMETER["central_meridian",-76],PARAMETER["false_easting",400000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",38.3],PARAMETER["standard_parallel_2",39.44],PARAMETER["latitude_of_origin",37.6666666666],PARAMETER["central_meridian",-76],PARAMETER["false_easting",400000],PARAMETER["false_northing",0]]|
State Plane - 1983|Nevada, Central|+proj=tmerc +ellps=GRS80 +lon_0=-116.6666666666 +lat_0=34.75 +k=0.99990000000000 +x_0=500000.0 +y_0=6000000.0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",34.75],PARAMETER["central_meridian",-116.6666666666],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",500000],PARAMETER["false_northing",6000000]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",34.75],PARAMETER["central_meridian",-116.6666666666],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",500000],PARAMETER["false_northing",6000000]]|
State Plane - 1983|Texas, South Central|+proj=lcc +ellps=GRS80 +lon_0=-99 +lat_0=27.83333333333 +lat_1=28.383333333333 +lat_2=30.283333333333 +x_0=600000.0 +y_0=4000000.0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",28.383333333333],PARAMETER["standard_parallel_2",30.283333333333],PARAMETER["latitude_of_origin",27.83333333333],PARAMETER["central_meridian",-99],PARAMETER["false_easting",600000],PARAMETER["false_northing",4000000]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",28.383333333333],PARAMETER["standard_parallel_2",30.283333333333],PARAMETER["latitude_of_origin",27.83333333333],PARAMETER["central_meridian",-99],PARAMETER["false_easting",600000],PARAMETER["false_northing",4000000]]|
State Plane - 1983|New Jersey|+proj=tmerc +ellps=GRS80 +lon_0=-74.5 +lat_0=38.83333333333 +k=0.99990000000000 +x_0=150000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",38.83333333333],PARAMETER["central_meridian",-74.5],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",150000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",38.83333333333],PARAMETER["central_meridian",-74.5],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",150000],PARAMETER["false_northing",0]]|
State Plane - 1983|North Dakota, North|+proj=lcc +ellps=GRS80 +lon_0=-100.5 +lat_0=46 +lat_1=47.43333333333 +lat_2=48.73333333333 +x_0=600000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",47.43333333333],PARAMETER["standard_parallel_2",48.73333333333],PARAMETER["latitude_of_origin",46],PARAMETER["central_meridian",-100.5],PARAMETER["false_easting",600000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",47.43333333333],PARAMETER["standard_parallel_2",48.73333333333],PARAMETER["latitude_of_origin",46],PARAMETER["central_meridian",-100.5],PARAMETER["false_easting",600000],PARAMETER["false_northing",0]]|
State Plane - 1983|Virginia, South|+proj=lcc +ellps=GRS80 +lon_0=-78.5 +lat_0=36.3333333333 +lat_1=36.76666666666 +lat_2=37.96666666666 +x_0=3500000.0 +y_0=1000000.0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",36.76666666666],PARAMETER["standard_parallel_2",37.96666666666],PARAMETER["latitude_of_origin",36.3333333333],PARAMETER["central_meridian",-78.5],PARAMETER["false_easting",3500000],PARAMETER["false_northing",1000000]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",36.76666666666],PARAMETER["standard_parallel_2",37.96666666666],PARAMETER["latitude_of_origin",36.3333333333],PARAMETER["central_meridian",-78.5],PARAMETER["false_easting",3500000],PARAMETER["false_northing",1000000]]|
State Plane - 1983|Utah, North|+proj=lcc +ellps=GRS80 +lon_0=-111.5 +lat_0=40.3333333333 +lat_1=40.716666666666 +lat_2=41.783333333333 +x_0=500000.0 +y_0=1000000.0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",40.716666666666],PARAMETER["standard_parallel_2",41.783333333333],PARAMETER["latitude_of_origin",40.3333333333],PARAMETER["central_meridian",-111.5],PARAMETER["false_easting",500000],PARAMETER["false_northing",1000000]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",40.716666666666],PARAMETER["standard_parallel_2",41.783333333333],PARAMETER["latitude_of_origin",40.3333333333],PARAMETER["central_meridian",-111.5],PARAMETER["false_easting",500000],PARAMETER["false_northing",1000000]]|
State Plane - 1983|Alaska, Zone 4|+proj=tmerc +ellps=GRS80 +lon_0=-150 +lat_0=54 +k=0.9999 +x_0=500000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",54],PARAMETER["central_meridian",-150],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",54],PARAMETER["central_meridian",-150],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|
State Plane - 1983|Wisconsin, South|+proj=lcc +ellps=GRS80 +lon_0=-90 +lat_0=42 +lat_1=42.73333333333 +lat_2=44.06666666666 +x_0=600000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",42.73333333333],PARAMETER["standard_parallel_2",44.06666666666],PARAMETER["latitude_of_origin",42],PARAMETER["central_meridian",-90],PARAMETER["false_easting",600000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",42.73333333333],PARAMETER["standard_parallel_2",44.06666666666],PARAMETER["latitude_of_origin",42],PARAMETER["central_meridian",-90],PARAMETER["false_easting",600000],PARAMETER["false_northing",0]]|
State Plane - 1983|Washington, South|+proj=lcc +ellps=GRS80 +lon_0=-120.5 +lat_0=45.3333333333 +lat_1=45.83333333333 +lat_2=47.3333333333 +x_0=500000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",45.83333333333],PARAMETER["standard_parallel_2",47.3333333333],PARAMETER["latitude_of_origin",45.3333333333],PARAMETER["central_meridian",-120.5],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",45.83333333333],PARAMETER["standard_parallel_2",47.3333333333],PARAMETER["latitude_of_origin",45.3333333333],PARAMETER["central_meridian",-120.5],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|
State Plane - 1983|Minnesota, South|+proj=lcc +ellps=GRS80 +lon_0=-94 +lat_0=42 +lat_1=43.7833333333333 +lat_2=45.2166666666666 +x_0=800000.0 +y_0=100000.0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",43.7833333333333],PARAMETER["standard_parallel_2",45.2166666666666],PARAMETER["latitude_of_origin",42],PARAMETER["central_meridian",-94],PARAMETER["false_easting",800000],PARAMETER["false_northing",100000]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",43.7833333333333],PARAMETER["standard_parallel_2",45.2166666666666],PARAMETER["latitude_of_origin",42],PARAMETER["central_meridian",-94],PARAMETER["false_easting",800000],PARAMETER["false_northing",100000]]|
State Plane - 1983|Illinois, East|+proj=tmerc +ellps=GRS80 +lon_0=-88.3333333333 +lat_0=36.6666666666 +k=0.99997500000000 +x_0=300000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",36.6666666666],PARAMETER["central_meridian",-88.3333333333],PARAMETER["scale_factor",0.999975],PARAMETER["false_easting",300000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",36.6666666666],PARAMETER["central_meridian",-88.3333333333],PARAMETER["scale_factor",0.999975],PARAMETER["false_easting",300000],PARAMETER["false_northing",0]]|
State Plane - 1983|Indiana, West|+proj=tmerc +ellps=GRS80 +lon_0=-87.083333333333 +lat_0=37.4 +k=0.99996666666667 +x_0=900000.0 +y_0=250000.0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",37.4],PARAMETER["central_meridian",-87.083333333333],PARAMETER["scale_factor",0.99996666666667],PARAMETER["false_easting",900000],PARAMETER["false_northing",250000]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",37.4],PARAMETER["central_meridian",-87.083333333333],PARAMETER["scale_factor",0.99996666666667],PARAMETER["false_easting",900000],PARAMETER["false_northing",250000]]|
State Plane - 1927|Louisiana, North|+proj=lcc +ellps=clrk66 +lon_0=-92.4 +lat_0=30.6666666666 +lat_1=31.16666666666 +lat_2=32.6666666666 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",31.16666666666],PARAMETER["standard_parallel_2",32.6666666666],PARAMETER["latitude_of_origin",30.6666666666],PARAMETER["central_meridian",-92.4],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",31.16666666666],PARAMETER["standard_parallel_2",32.6666666666],PARAMETER["latitude_of_origin",30.6666666666],PARAMETER["central_meridian",-92.4],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Nebraska, South|+proj=lcc +ellps=clrk66 +lon_0=-99.5 +lat_0=39.6666666666 +lat_1=40.283333333333 +lat_2=41.7166666666666 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",40.283333333333],PARAMETER["standard_parallel_2",41.7166666666666],PARAMETER["latitude_of_origin",39.6666666666],PARAMETER["central_meridian",-99.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",40.283333333333],PARAMETER["standard_parallel_2",41.7166666666666],PARAMETER["latitude_of_origin",39.6666666666],PARAMETER["central_meridian",-99.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Ohio, North|+proj=lcc +ellps=clrk66 +lon_0=-82.5 +lat_0=39.6666666666 +lat_1=40.43333333333 +lat_2=41.7 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",40.43333333333],PARAMETER["standard_parallel_2",41.7],PARAMETER["latitude_of_origin",39.6666666666],PARAMETER["central_meridian",-82.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",40.43333333333],PARAMETER["standard_parallel_2",41.7],PARAMETER["latitude_of_origin",39.6666666666],PARAMETER["central_meridian",-82.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Tennessee|+proj=lcc +ellps=clrk66 +lon_0=-85 +lat_0=34.6666666666 +lat_1=35.25 +lat_2=36.4166666666666 +x_0=609601.21920243848581 +y_0=30480.06096012192575|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",35.25],PARAMETER["standard_parallel_2",36.4166666666666],PARAMETER["latitude_of_origin",34.6666666666],PARAMETER["central_meridian",-85],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",30480.06096012193]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",35.25],PARAMETER["standard_parallel_2",36.4166666666666],PARAMETER["latitude_of_origin",34.6666666666],PARAMETER["central_meridian",-85],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",30480.06096012193]]|
State Plane - 1927|California, Zone IV|+proj=lcc +ellps=clrk66 +lon_0=-119 +lat_0=35.3333333333 +lat_1=36 +lat_2=37.25 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",36],PARAMETER["standard_parallel_2",37.25],PARAMETER["latitude_of_origin",35.3333333333],PARAMETER["central_meridian",-119],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",36],PARAMETER["standard_parallel_2",37.25],PARAMETER["latitude_of_origin",35.3333333333],PARAMETER["central_meridian",-119],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Maryland|+proj=lcc +ellps=clrk66 +lon_0=-76 +lat_0=37.83333333333 +lat_1=38.3 +lat_2=39.44 +x_0=243840.48768097540597 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",38.3],PARAMETER["standard_parallel_2",39.44],PARAMETER["latitude_of_origin",37.83333333333],PARAMETER["central_meridian",-76],PARAMETER["false_easting",243840.4876809754],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",38.3],PARAMETER["standard_parallel_2",39.44],PARAMETER["latitude_of_origin",37.83333333333],PARAMETER["central_meridian",-76],PARAMETER["false_easting",243840.4876809754],PARAMETER["false_northing",0]]|
State Plane - 1927|New York, Central|+proj=tmerc +ellps=clrk66 +lon_0=-76.583333333333 +lat_0=39 +k=0.99993750000000 +x_0=152400.30480060962145 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",39],PARAMETER["central_meridian",-76.583333333333],PARAMETER["scale_factor",0.9999375],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",39],PARAMETER["central_meridian",-76.583333333333],PARAMETER["scale_factor",0.9999375],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|
State Plane - 1927|Texas, North|+proj=lcc +ellps=clrk66 +lon_0=-101.5 +lat_0=33 +lat_1=34.65 +lat_2=36.1833333333333 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",34.65],PARAMETER["standard_parallel_2",36.1833333333333],PARAMETER["latitude_of_origin",33],PARAMETER["central_meridian",-101.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",34.65],PARAMETER["standard_parallel_2",36.1833333333333],PARAMETER["latitude_of_origin",33],PARAMETER["central_meridian",-101.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Idaho, Central|+proj=tmerc +ellps=clrk66 +lon_0=-114 +lat_0=41.6666666666 +k=0.99994736842105 +x_0=152400.30480060962145 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",41.6666666666],PARAMETER["central_meridian",-114],PARAMETER["scale_factor",0.99994736842105],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",41.6666666666],PARAMETER["central_meridian",-114],PARAMETER["scale_factor",0.99994736842105],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|
State Plane - 1927|Alabama, East|+proj=tmerc +ellps=clrk66 +lon_0=-85.83333333333 +lat_0=30.5 +k=0.99996 +x_0=152400.30480060962145 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",30.5],PARAMETER["central_meridian",-85.83333333333],PARAMETER["scale_factor",0.99996],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",30.5],PARAMETER["central_meridian",-85.83333333333],PARAMETER["scale_factor",0.99996],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|
State Plane - 1927|Indiana, East|+proj=tmerc +ellps=clrk66 +lon_0=-85.6666666666 +lat_0=37.4 +k=0.99996666666667 +x_0=152400.30480060962145 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",37.4],PARAMETER["central_meridian",-85.66666666659999],PARAMETER["scale_factor",0.99996666666667],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",37.4],PARAMETER["central_meridian",-85.66666666659999],PARAMETER["scale_factor",0.99996666666667],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|
