Unprojected (Latitude/Longitude)|Unprojected (Latitude/Longitude)|+proj=longlat +ellps=WGS84 +no_defs|GEOGCS["WGS 84",DATUM["unknown",SPHEROID["WGS84",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]]|GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]]|
State Plane - 1983|Kentucky, South|+proj=lcc +ellps=GRS80 +lon_0=-85.75 +lat_0=36.3333333333 +lat_1=36.73333333333 +lat_2=37.93333333333 +x_0=500000.0 +y_0=500000.0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",36.73333333333],PARAMETER["standard_parallel_2",37.93333333333],PARAMETER["latitude_of_origin",36.3333333333],PARAMETER["central_meridian",-85.75],PARAMETER["false_easting",500000],PARAMETER["false_northing",500000]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",36.73333333333],PARAMETER["standard_parallel_2",37.93333333333],PARAMETER["latitude_of_origin",36.3333333333],PARAMETER["central_meridian",-85.75],PARAMETER["false_easting",500000],PARAMETER["false_northing",500000]]|
State Plane - 1983|Hawaii, Zone 1|+proj=tmerc +ellps=GRS80 +lon_0=-155.5 +lat_0=18.83333333333 +k=0.99996666666667 +x_0=500000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",18.83333333333],PARAMETER["central_meridian",-155.5],PARAMETER["scale_factor",0.99996666666667],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",18.83333333333],PARAMETER["central_meridian",-155.5],PARAMETER["scale_factor",0.99996666666667],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|
State Plane - 1983|Hawaii, Zone 2|+proj=tmerc +ellps=GRS80 +lon_0=-156.6666666666 +lat_0=20.3333333333 +k=0.99996666666667 +x_0=500000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",20.3333333333],PARAMETER["central_meridian",-156.6666666666],PARAMETER["scale_factor",0.99996666666667],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",20.3333333333],PARAMETER["central_meridian",-156.6666666666],PARAMETER["scale_factor",0.99996666666667],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|
State Plane - 1983|Illinois, West|+proj=tmerc +ellps=GRS80 +lon_0=-90.16666666666 +lat_0=36.6666666666 +k=0.99994117647059 +x_0=700000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",36.6666666666],PARAMETER["central_meridian",-90.16666666666001],PARAMETER["scale_factor",0.99994117647059],PARAMETER["false_easting",700000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",36.6666666666],PARAMETER["central_meridian",-90.16666666666001],PARAMETER["scale_factor",0.99994117647059],PARAMETER["false_easting",700000],PARAMETER["false_northing",0]]|
State Plane - 1983|Hawaii, Zone 4|+proj=tmerc +ellps=GRS80 +lon_0=-159.5 +lat_0=21.83333333333 +k=0.99999000000000 +x_0=500000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",21.83333333333],PARAMETER["central_meridian",-159.5],PARAMETER["scale_factor",0.99999],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",21.83333333333],PARAMETER["central_meridian",-159.5],PARAMETER["scale_factor",0.99999],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|
State Plane - 1983|Hawaii, Zone 5|+proj=tmerc +ellps=GRS80 +lon_0=-160.16666666666 +lat_0=21.6666666666 +k=1.00000000000000 +x_0=500000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",21.6666666666],PARAMETER["central_meridian",-160.16666666666],PARAMETER["scale_factor",1],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",21.6666666666],PARAMETER["central_meridian",-160.16666666666],PARAMETER["scale_factor",1],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|
State Plane - 1983|Wyoming, East|+proj=tmerc +ellps=GRS80 +lon_0=-105.16666666666 +lat_0=40.4 +k=0.99993750000000 +x_0=200000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",40.4],PARAMETER["central_meridian",-105.16666666666],PARAMETER["scale_factor",0.9999375],PARAMETER["false_easting",200000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",40.4],PARAMETER["central_meridian",-105.16666666666],PARAMETER["scale_factor",0.9999375],PARAMETER["false_easting",200000],PARAMETER["false_northing",0]]|
State Plane - 1983|South Carolina|+proj=lcc +ellps=GRS80 +lon_0=-81 +lat_0=31.83333333333 +lat_1=32.5 +lat_2=34.83333333333 +x_0=609600.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",32.5],PARAMETER["standard_parallel_2",34.83333333333],PARAMETER["latitude_of_origin",31.83333333333],PARAMETER["central_meridian",-81],PARAMETER["false_easting",609600],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",32.5],PARAMETER["standard_parallel_2",34.83333333333],PARAMETER["latitude_of_origin",31.83333333333],PARAMETER["central_meridian",-81],PARAMETER["false_easting",609600],PARAMETER["false_northing",0]]|
State Plane - 1983|Mississippi, East|+proj=tmerc +ellps=GRS80 +lon_0=-88.83333333333 +lat_0=29.5 +k=0.99995000000000 +x_0=300000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",29.5],PARAMETER["central_meridian",-88.83333333333],PARAMETER["scale_factor",0.99995],PARAMETER["false_easting",300000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",29.5],PARAMETER["central_meridian",-88.83333333333],PARAMETER["scale_factor",0.99995],PARAMETER["false_easting",300000],PARAMETER["false_northing",0]]|
State Plane - 1983|Arizona, East|+proj=tmerc +ellps=GRS80 +lon_0=-110.16666666666 +lat_0=30 +k=0.9999 +x_0=213360.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",30],PARAMETER["central_meridian",-110.16666666666],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",213360],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",30],PARAMETER["central_meridian",-110.16666666666],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",213360],PARAMETER["false_northing",0]]|
